,,,,,,1,1,,,,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
159,,,India,7,,58.33333333,,2004,23,17,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,60
160,Uddhampur district ,,India,2,,16.66666667,,2004,60,7,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,57
161,Dakshina Kannada,,India,4,,33.33333333,,2004,27,1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,Undiagnosed,ENC,58
162,,,India,6,,50,,2004,200,8,4,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,Undiagnosed,RESP,59
163,,,India,8,,66.66666667,,2004,1000s,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,100,,Undiagnosed,,61
164,,,India,5,,41.66666667,,2004,8,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,62
165,,,India,7,,58.33333333,,2004,8,3,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,63
166,,,India,9,,75,,2004,UNK,177,,,,,,,,,,,100,,,,,,,,,,,,100,,,,,,,,100,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,Undiagnosed,ENC,64
167,"Gorakhpur,Devaria, Basti,Maharajganj and adjoining areas of Bihar",,India,7,,58.33333333,,2005,>4900,1302,26.57142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,ENC,66
168,Muzaffarpur District,,India,6,,50,,2005,UNK,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,,,Undiagnosed,ENC,65
169,,,India,11,,91.66666667,,2005,>140,97,69.28571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,,Undiagnosed,ENC,67
170,Chitradurga taluk and Molakalmuru taluk,,India,2,,16.66666667,,2006,UNK,0,0,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,?,68
171,,,India,3,,25,,2006,3970,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,69
172,"Salaya village, Jamnagar district ",,India,4,,33.33333333,,2006,>1000,3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,100,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,?,70
173,,,India,8,,66.66666667,,2006,UNK,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,71
174,Panja Village,,India,1,,8.333333333,,2006,30,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,72
175,Nadias Betai ,,India,2,,16.66666667,,2007,UNK,3,,,,,,,100,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,73
176,,,India,6,,50,,2007,UNK,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,?,74
177,,,India,8,,66.66666667,,2007,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,Undiagnosed,ENC,75
178,,,India,9,,75,,2007,UNK,7,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,Undiagnosed,?,76
179,,,India,10,,83.33333333,,2007,UNK,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,77
180,Tamenglong district ,,India,11,,91.66666667,,2007,35,1,2.9,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,?,78
181,,,India,3,,25,,2008,>100,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,79
182,Nadilak village of Bishalgarh subdivision,,India,5,,41.66666667,,2008,109,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,?,80
183,Kolkata,,India,6,,50,,2008,44,17,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,81
184,,,India,7,,58.33333333,,2008,UNK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,Undiagnosed,ENC,82
185,,,India,8,,66.66666667,,2008,800,150,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,83
186,,,India,10,,83.33333333,,2008,1500,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,84
187,,,Nepal,,,,,1995,772,126,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,95
188,,,Nepal,12,,100,,1995,UNK,>200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,Undiagnosed,,94
189,,,Nepal,,,,,1996,697,118,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,96
190,,,Nepal,4,,33.33333333,,1997,2333,284,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,97
191,,,Nepal,4,,33.33333333,,1998,UNK,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,98
192,,,Nepal,,,,,1998,2448,256,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,99
193,"Morang, Sunsari, Jhapa and Udayapur",,Nepal,,,,,1998,33,7,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,100
194,,,Nepal,1,,8.333333333,,1999,2409,361,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,102
195,,,Nepal,9,,75,,1999,UNK,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,104
196,,,Nepal,,,,,1999,UNK,72,,,,,,100,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,100,,Undiagnosed,,101
197,,,Nepal,10,,83.33333333,,1999,1,0,0,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,103
198,,,Nepal,3,,25,,2000,UNK,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,105
199,,,Nepal,6,,50,,2000,UNK,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,106
200,,,Nepal,7,,58.33333333,,2001,25,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,107
201,Dolakha district ,,Nepal,9,,75,,2002,100,15,15,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,108
202,Makwanpur District,,Nepal,9,,75,,2002,200,32,16,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,109
203,,,Nepal,,,,,2003,UNK,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,112
204,Bajura,,Nepal,1,,8.333333333,,2003,150,16,10.7,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,110
205,,,Nepal,,,,,2003,700,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,RESP,111
206,,,Nepal,1,,8.333333333,,2004,90,UNK,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,Undiagnosed,,113
207,,,Nepal,7,,58.33333333,,2005,UNK,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,116
208,,,Nepal,6,,50,,2005,UNK,33,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,Undiagnosed,RESP,114
209,,,Nepal,8,,66.66666667,,2005,UNK,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,115
210,,,Nepal,,,,,2006,>200,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,120
211,,,Nepal,10,,83.33333333,,2006,500,36,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,100,,,,Diagnosed,,121
212,,,Nepal,7,,58.33333333,,2006,UNK,7,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,117
213,,,Nepal,6,,50,,2006,UNK,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,118
214,,,Nepal,10,,83.33333333,,2006,>500,8,1.6,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,119
215,,,Nepal,4,,33.33333333,,2007,UNK,35,,,,,,,,,,,,,,,,100,,,,,100,,,,,,,,,,100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,122
216,,,Nepal,7,,58.33333333,,2008,UNK,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,Undiagnosed,,123
217,,,Sri Lanka,4,,33.33333333,,1998,Thousands,17,1.7,,,,,,100,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,Diagnosed,,126
218,,,Sri Lanka,1,,8.333333333,,2003,UNK,>30,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100,,,,,,,,,,,,,Undiagnosed,RESP,127
219,,,Sri Lanka,5,,41.66666667,,2003,50,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,128
220,,,Sri Lanka,12,,100,,2004,>50,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,129
221,,,Sri Lanka,11,,91.66666667,,2007,700,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,130
222,"Welioya, Maradankadawala and Galnewa ",,Sri Lanka,3,,25,,2008,UNK,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,131
223,Ratnapura District ,,Sri Lanka,12,,100,,2008,700,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,,132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
